Time (UTC),Reviewer,Voter ID,Design,Score,Comment
"2026-09-09 09:36","Anonymous","","Design A","4",""
"2026-09-09 09:36","Anonymous","","Design B","5",""
"2026-09-09 13:16","Anonymous","","Design A","5",""
"2026-09-09 13:16","Anonymous","","Design B","4",""
"2026-09-09 13:17","Anonymous","","Design A","5",""
"2026-09-09 13:17","Anonymous","","Design B","4",""
"2026-09-09 13:18","Anonymous","","Design A","4","Test"
"2026-09-09 13:18","Anonymous","","Design B","5","Hi"
"2026-09-09 13:41","Anonymous","mtu5cx5o3oqje","Design A","3",""
"2026-09-09 13:41","Anonymous","mtu5cx5o3oqje","Design B","5",""
"2026-09-09 13:55","Anonymous","mtu5cx5o3oqje","Design A","4",""
"2026-09-09 13:55","Anonymous","mtu5cx5o3oqje","Design B","5",""
